anime_id,name,genre,type,rating,image_url
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi",TV,6.58,https://cdn.myanimelist.net/images/anime/9/21036.jpg
177,Tsubasa Chronicle,"Action, Adventure, Drama, Fantasy, Romance",TV,7.51,https://cdn.myanimelist.net/images/anime/9/6555.jpg
178,Ultra Maniac,"Comedy, Fantasy, Romance",TV,7.15,https://cdn.myanimelist.net/images/anime/8/53571.jpg
180,Vandread,"Sci-Fi, Ecchi",TV,7.15,https://cdn.myanimelist.net/images/anime/5/75446.jpg
181,Vandread: The Second Stage,"Sci-Fi, Ecchi",TV,7.37,https://cdn.myanimelist.net/images/anime/4/75447.jpg
182,Tenkuu no Escaflowne,"Adventure, Fantasy, Romance",TV,7.65,https://cdn.myanimelist.net/images/anime/5/30689.jpg
183,Whistle!,Sports,TV,7.35,https://cdn.myanimelist.net/images/anime/8/17885.jpg
184,Xenosaga The Animation,Sci-Fi,TV,6.32,https://cdn.myanimelist.net/images/anime/3/75162.jpg
185,Initial D First Stage,"Action, Drama",TV,8.36,https://cdn.myanimelist.net/images/anime/1384/127972.jpg
186,Initial D Second Stage,"Action, Drama",TV,8.19,https://cdn.myanimelist.net/images/anime/8/12750.jpg
187,Initial D Third Stage,"Action, Drama",Movie,7.91,https://cdn.myanimelist.net/images/anime/13/40397.jpg
189,Love Hina,"Comedy, Romance, Ecchi",TV,7.09,https://cdn.myanimelist.net/images/anime/1153/99366.jpg
190,Love Hina Again,"Comedy, Romance, Ecchi",OVA,7.2,https://cdn.myanimelist.net/images/anime/3/10289.jpg
191,Love Hina Christmas Special: Silent Eve,"Comedy, Romance",TV Special,7.3,https://cdn.myanimelist.net/images/anime/11/82467.jpg
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",TV Special,7.17,https://cdn.myanimelist.net/images/anime/12/82632.jpg
193,Maburaho,"Comedy, Drama, Romance, Ecchi",TV,6.72,https://cdn.myanimelist.net/images/anime/9/79204.jpg
194,Macross Zero,"Adventure, Sci-Fi",OVA,7.48,https://cdn.myanimelist.net/images/anime/12/76289.jpg
195,Onegai☆Teacher,"Drama, Romance, Sci-Fi",TV,7.09,https://cdn.myanimelist.net/images/anime/1371/138517.jpg
196,Onegai☆Twins,"Comedy, Drama, Sci-Fi",TV,6.8,https://cdn.myanimelist.net/images/anime/1621/100229.jpg
197,Rizelmine,"Comedy, Romance, Sci-Fi, Ecchi",TV,6.49,https://cdn.myanimelist.net/images/anime/7/22990.jpg
198,Speed Grapher,"Action, Mystery, Suspense",TV,7.29,https://cdn.myanimelist.net/images/anime/13/12343.jpg
199,Sen to Chihiro no Kamikakushi,"Adventure, Award Winning, Fantasy",Movie,8.77,https://cdn.myanimelist.net/images/anime/6/79597.jpg
200,Tenshi na Konamaiki,"Comedy, Romance",TV,7.42,https://cdn.myanimelist.net/images/anime/1644/131230.jpg
